latitude,longitude,date,president_name,City,region,total_low,total_high,size,deaths
34.841988,71.49765,30-Oct-06,Bush,"Chenagai, six miles north of Khar",Bajaur,80,82,81.1,81
32.622604,69.852448,23-Jun-09,Obama,Makeen,South Waziristan,40,80,60.1,75
32.98793,69.763184,17-Mar-11,Obama,"Datta Khel, 15 miles west of Miram Shah",North Waziristan,45,45,45.1,45
32.52771,69.863434,8-Jul-09,Obama,Karwan Manza,South Waziristan,17,40,28.6,28
32.991386,70.291901,19-Jun-07,Bush,"Mami Rogha, 26 miles west of Miram Shah",North Waziristan,20,34,27.1,27
33.091541,70.274734,22-Apr-11,Obama,"Spinwam village, Mir Ali",North Waziristan,23,29,26.1,25
32.844982,69.56543,16-Jan-07,Bush,"Salamat Keley, Zamazola",South Waziristan,20,30,25.1,26
33.005211,70.272675,16-May-09,Obama,"Khesoor, 18 miles east of Miram Shah",North Waziristan,10,40,25.1,33
32.520184,69.868927,14-Feb-09,Obama,"Near Narsikhel, Ladha",South Waziristan,16,30,23.1,28
33.683212,70.290527,16-Feb-09,Obama,"Sur Pul, near Parachinar",Kurram,15,31,23.1,23
33.01442,70.085907,8-Sep-08,Bush,"Danda Darpa Khel, outside Miram Shah",North Waziristan,20,25,22.6,23
33.620338,70.750351,11-Oct-12,Obama,Bulandkhel,Orakzai,16,26,21.1,21
32.285973,69.988403,3-Jul-09,Obama,"Zamarai Nairai, near Kokat Khel, 28 miles east of Wana",South Waziristan,6,35,20.6,20
32.346901,69.498138,6-Jun-11,Obama,"Wana, South Waziristan",South Waziristan,18,23,20.6,19
33.002907,70.094147,10-Aug-11,Obama,Miram Shah,North Waziristan,18,23,20.6,20
32.552601,69.609375,26-Oct-08,Bush,Shakai region north of Wana,South Waziristan,20,20,20.1,20
34.818878,71.500397,24-Oct-09,Obama,Damadola Bajaur,Khyber Pakhtunkhwa,15,24,19.6,22
33.795128,70.768433,17-Dec-10,Obama,"Sippah village, near Spin Drand in the Tirah Valley",Khyber,7,32,19.6,28
32.957977,70.379791,27-Dec-10,Obama,"Shera Tala area, near Mir Ali",North Waziristan,18,21,19.6,20
32.932625,69.623108,8-Jun-11,Obama,Zawal Narai area of Shawal Tehsil,North Waziristan,15,23,19.1,21
33.106499,70.053635,16-Nov-10,Obama,"Ghulam Khan, 20 km north of Miram Shah",North Waziristan,16,20,18.1,18
33.808819,70.279541,12-Mar-09,Obama,Barjo,Kurram,11,24,17.6,22
33.05949283,69.9176788,16-Jul-14,Obama,Datta Khel,North Waziristan,15,20,17.6,18
32.45068,69.277039,24-Jul-10,Obama,"Dwasarak village, 25 miles west of Wana, near Angoor Adda",South Waziristan,16,18,17.1,17
32.3914,70.1126,16-Nov-11,Obama,Babar Ghar,South Waziristan,12,22,17.1,20
33.00538611,70.07612225,2-Jul-13,Obama,Sarai Darpa Khel,North Waziristan,16,18,17.1,17
33.003483,70.031662,21-Aug-09,Obama,"Darpa Khel, outside Miram Shah",North Waziristan,12,21,16.6,20
32.989082,69.693146,17-Dec-09,Obama,"Godaivalla, in Datta Khel",North Waziristan,15,18,16.6,17
32.997147,69.616241,10-Mar-10,Obama,"Mizar Madakhel, 25-31 miles west of Miram Shah",North Waziristan,12,21,16.6,19
32.708733,69.559937,27-Jun-11,Obama,Mantoi,South Waziristan,12,21,16.6,15
32.659031,70.150452,17-Jan-10,Obama,"Nizba Village, Shaktoi region",South Waziristan,12,20,16.1,16
32.9052,69.7488,11-Jul-11,Obama,"Gorwick, Datta Khel Town, 45 km west of Miram Shah",North Waziristan,7,25,16.1,10
32.983898,69.75769,6-Jan-10,Obama,Sanzali area of Datta Khel,North Waziristan,5,25,15.1,20
33.018452,70.098953,3-Sep-10,Obama,Machis Factory area on outskirts of Miram Shah,North Waziristan,5,25,15.1,21
32.906975,69.758377,6-Jul-12,Obama,Datta Khel village,North Waziristan,9,21,15.1,11
34.809856,71.531296,14-May-08,Bush,Damadola,Bajaur,13,16,14.6,14
32.998299,69.723358,3-Oct-08,Bush,"Mohammad Khel, near Datta Khel",North Waziristan,8,21,14.6,19
32.669147,70.156975,14-Jan-10,Obama,Shaktoi village in the Pasalkot region,North Waziristan,11,18,14.6,15
32.479645,70.018616,9-May-09,Obama,"Tabbi Langar Khel, near Sarorogha",South Waziristan,8,20,14.1,15
32.623184,69.841461,7-Jul-09,Obama,"Jangara, Makeen",South Waziristan,12,16,14.1,13
32.995995,69.704819,11-May-10,Obama,"Doga area, Datta Khel",North Waziristan,14,14,14.1,14
32.316151,69.462433,16-Mar-08,Bush,"Dhook Pir Bagh, near Wana",South Waziristan,7,20,13.6,18
32.751476,70.072174,7-Nov-08,Bush,"Kumsham, 22 miles south of Miram Shah",North Waziristan,13,14,13.6,14
32.981022,70.293274,19-Jun-10,Obama,"Sokhel village, 16 miles east of Miram Shah",North Waziristan,11,16,13.6,15
33.028816,70.046082,23-Aug-10,Obama,Danday Darpa Khel,North Waziristan,7,20,13.6,18
34.801682,71.472588,6-Jan-06,Bush,Damadola,Bajaur,8,18,13.1,16
33.672928,70.911255,1-Apr-09,Obama,Khadezai,Orakzai,12,14,13.1,13
32.984474,69.715805,4-Apr-09,Obama,"Datta Khel, near Miram Shah",North Waziristan,11,15,13.1,13
32.990234,70.31868,14-Aug-10,Obama,"Issori, 13 miles east of Miram Shah",North Waziristan,12,14,13.1,13
33.756313,70.7547,17-Dec-10,Obama,"Narai Baba, Tirah valley",Khyber,11,15,13.1,15
33.1344,70.4512,26-Oct-11,Obama,Bobar,North Waziristan,13,13,13.1,13
33.02613758,69.94514462,19-Jul-14,Obama,Datta Khel,North Waziristan,11,15,13.1,14
32.99398,70.237999,29-Jan-08,Bush,Near Mir Ali,North Waziristan,12,13,12.6,13
33.02018,70.029602,15-Sep-10,Obama,"Dargah Mandi, outskirts of Miram Shah",North Waziristan,11,14,12.6,14
32.658455,70.179977,6-Jan-13,Obama,Babar Ghar,South Waziristan,8,17,12.6,16
33.004059,70.074921,12-Sep-08,Bush,Tol Khel on the outskirts of Miram Shah,North Waziristan,12,12,12.1,12
32.707577,69.873047,14-Nov-08,Bush,Garyom,North Waziristan,11,13,12.1,13
32.524239,69.794769,11-Aug-09,Obama,"Kani Guram, four miles from Ladha",South Waziristan,10,14,12.1,12
33.6920485,70.0474217,16-Oct-17,Trump,Maqbal,Kurram Agency,4,20,12.1,10
32.9767,70.269241,31-Oct-08,Bush,Mir Ali,North Waziristan,8,15,11.6,14
33.012695,69.761124,6-May-11,Obama,Datta Khel,North Waziristan,5,18,11.6,16
32.6138,69.5082,12-Jul-11,Obama,"Bray Nishtar, Shawal area",North Waziristan,8,15,11.6,14
32.715954,69.610062,23-Jul-12,Obama,Shawal,North Waziristan,9,14,11.6,13
33.017876,70.254822,16-Feb-12,Obama,Mir Ali,North Waziristan,7,15,11.1,15
32.308025,69.409561,28-Feb-08,Bush,Azam Warzak,South Waziristan,8,13,10.6,13
32.311508,69.320984,12-Aug-08,Bush,"Bhagar, 22 miles west of Wana",South Waziristan,9,12,10.6,11
32.989082,69.716492,21-May-10,Obama,Asadabad village of Muhammad Khel area of Datta Khel,North Waziristan,9,12,10.6,11
32.995419,69.77211,15-Jul-10,Obama,"Sheerani, Mada Khel",North Waziristan,7,14,10.6,12
32.79882,69.507751,9-Mar-12,Obama,Makin,South Waziristan,8,13,10.6,12
32.97411,70.279541,4-Jun-12,Obama,Hassokhel,North Waziristan,6,15,10.6,9
32.270878,69.589462,23-Jan-09,Obama,"Dilfaraz or Ghangi Khel, near Wana",South Waziristan,10,10,10.1,10
33.001755,69.713058,29-Jan-10,Obama,"Muhammad Khel, Datta Khel",North Waziristan,5,15,10.1,10
33.881817,70.85907,15-May-10,Obama,"Ragha area, Tirah Valley",Khyber,5,15,10.1,8
32.292938,69.304504,28-May-10,Obama,"Mizai Nari, 38 km west of Wana",South Waziristan,8,12,10.1,11
33.027664,70.017242,8-Sep-10,Obama,Danday Darpakhel,North Waziristan,10,10,10.1,10
33.016724,69.906006,28-Dec-10,Obama,"Nawab village, in Ghulam Khan area",North Waziristan,10,10,10.1,10
33.527657,70.285034,20-Jun-11,Obama,Khardand,Kurram,7,13,10.1,12
32.99736246,70.07629391,12-Jun-14,Obama,Miramshah,North Waziristan,10,10,10.1,10
32.29874,69.54071,31-Oct-08,Bush,Wana,South Waziristan,7,12,9.6,10
32.9538,70.262459,23-Jan-09,Obama,"Zharki (Zera), near Mir Ali",North Waziristan,9,10,9.6,10
32.49065,70.004883,1-Mar-09,Obama,"Sararogha, near Wana",South Waziristan,7,12,9.6,11
33.046082,70.019989,8-Sep-09,Obama,"Dargamandi village, 3 miles northwest of Miram Shah",North Waziristan,9,10,9.6,9
32.991386,69.742584,16-Mar-10,Obama,"Datta Khel, 12 miles west of Miram Shah",North Waziristan,8,11,9.6,9
33.021908,69.656754,14-Sep-10,Obama,"Bushnarai village, Shawal",North Waziristan,7,12,9.6,10
33.052414,70.19165,8-Feb-12,Obama,Spalga,North Waziristan,9,10,9.6,9
32.298161,69.349136,12-May-09,Obama,"Sara Khwara, 25 km west of Wana",South Waziristan,8,10,9.1,9
32.821903,69.979477,17-Dec-09,Obama,Deegan village,North Waziristan,4,14,9.1,4
33.042629,70.061188,24-Feb-10,Obama,"Dargi Mandi, 2.5 miles north of Miram Shah",North Waziristan,4,14,9.1,6
33.024784,69.823608,12-Apr-10,Obama,"Boya village, 12 miles west of Miram Shah",North Waziristan,5,13,9.1,7
32.66597,70.161438,25-Jul-10,Obama,Shaktoi village in the Pasalkot region,South Waziristan,4,14,9.1,8
32.6238,69.4968,12-Jul-11,Obama,"Malik Shahi village, Dremala/Bermal Tehsil, Shawal, near the border with North Waziristan and Paktika,",South Waziristan,5,13,9.1,9
32.963451,70.31044,22-Aug-11,Obama,"Norak, near Mir Ali",North Waziristan,7,11,9.1,8
32.884201,69.598389,5-May-12,Obama,Shawal,North Waziristan,8,10,9.1,9
33.1440818,70.0212442,26-Apr-17,Trump,Lawara Mandi,North Waziristan,7,11,9.1,9
33.046658,69.539337,5-Sep-08,Bush,Gurwak,North Waziristan,5,12,8.6,8
33.07716,70.069427,26-Dec-09,Obama,"Babar Raghzai area of the Saidgi village, 4 miles north of Miram Shah",North Waziristan,3,14,8.6,6
32.963161,70.241776,14-Feb-10,Obama,Mir Ali,North Waziristan,8,9,8.6,8
32.994267,69.558563,11-May-10,Obama,"Gorwek, near Afghan border",North Waziristan,7,10,8.6,9
32.997147,69.656754,11-Jun-10,Obama,"Datta Khel, 12 miles west of Miram Shah",North Waziristan,8,9,8.6,8
33.070827,69.701385,20-Sep-10,Obama,"Darazinda village, 25 miles northeast of Miram Shah",North Waziristan,8,9,8.6,9
32.990234,69.631348,2-Oct-10,Obama,"Inzarkas village, Datta Khel",North Waziristan,8,9,8.6,9
32.981022,70.256882,4-Oct-10,Obama,Mir Ali,North Waziristan,5,12,8.6,11
33.05817,70.080414,7-Nov-10,Obama,"Ghulam Khan, north of Miram Shah",North Waziristan,8,9,8.6,9
32.168636,69.576416,3-Jun-11,Obama,"Laman, in Ghwa Khwa and Karikot area, 20km south of Wana",South Waziristan,5,12,8.6,11
32.713356,69.608688,18-Aug-12,Obama,Shwedar,North Waziristan,5,12,8.6,6
32.49007,69.320297,2-Jan-13,Obama,Angoor Adda,South Waziristan,6,11,8.6,7
33.010391,70.043335,5-Nov-05,Bush,Haisori,North Waziristan,8,8,8.1,8
32.52771,69.855881,8-Jul-09,Obama,"Laddha, Karwan Manza",South Waziristan,6,10,8.1,8
33.002331,70.290527,20-Nov-09,Obama,Palooseen Village in Mir Ali,North Waziristan,8,8,8.1,8
32.997147,69.672546,9-May-10,Obama,"Inzarkas village, Datta Khel",North Waziristan,6,10,8.1,7
32.234295,69.530411,29-Jun-10,Obama,"Lamal village, near Karikot, 6 miles SW of Wana",South Waziristan,6,10,8.1,7
32.98793,69.640961,2-Oct-10,Obama,"Asar village, Datta Khel",North Waziristan,6,10,8.1,9
33.02824,70.239716,1-Jan-11,Obama,"Mandi Khel, near Mir Ali",North Waziristan,7,9,8.1,8
32.65065,70.185471,8-Feb-13,Obama,Babar Ghar,South Waziristan,7,9,8.1,8
32.09064163,69.45831295,6-Oct-14,Obama,Shawal,North Waziristan,8,8,8.1,8
33.00005289,69.92935177,26-Dec-14,Obama,Shawal Valley,North Waziristan,7,9,8.1,8
32.6169196,69.4999301,6-Jun-15,Obama,Shawal,North Waziristan,7,9,8.1,9
32.301064,69.598389,20-Aug-08,Bush,Wana,South Waziristan,5,10,7.6,10
32.994843,70.167618,9-Oct-08,Bush,"Tati, near Miram Shah",North Waziristan,6,9,7.6,8
32.97123,70.245895,24-Sep-09,Obama,Near Mir Ali,North Waziristan,3,12,7.6,5
32.978718,70.327606,24-Apr-10,Obama,"Machi Khel, 12 miles east of Miram Shah",North Waziristan,7,8,7.6,7
32.99081,70.304604,10-Oct-10,Obama,"Spin Wam refugee camp, outside Mir Ali",North Waziristan,7,8,7.6,7
32.994843,69.726791,28-Oct-10,Obama,"Ismail Khel, in Datta Khel",North Waziristan,4,11,7.6,5
32.6272,69.4453,27-Jun-11,Obama,Bray Nishtar,South Waziristan,3,12,7.6,7
33.036297,70.268555,24-May-12,Obama,Mir Ali,North Waziristan,5,10,7.6,5
32.306866,69.446465,3-Jun-12,Obama,Wacha Dana,South Waziristan,5,10,7.6,9
33.04090313,69.98291012,24-Sep-14,Obama,Datta Khel,North Waziristan,5,10,7.6,8
32.307446,69.56543,19-Jun-04,Bush,Wana,South Waziristan,7,7,7.1,7
32.992538,70.098953,2-Nov-07,Bush,Outside Miram Shah,North Waziristan,5,9,7.1,8
33.01442,70.061188,31-Aug-08,Bush,"Tappi, Miram Shah",North Waziristan,6,8,7.1,7
33.023632,70.074577,23-Oct-08,Bush,"Danda Darpa Khel, outside Miram Shah",North Waziristan,4,10,7.1,6
32.616241,69.848328,25-Mar-09,Obama,Makeen,South Waziristan,7,7,7.1,7
32.582691,69.849014,5-Aug-09,Obama,Zangra village of Ladha,South Waziristan,2,12,7.1,10
32.989082,70.328293,30-Sep-09,Obama,"Norak, 12 miles east of Miram Shah",North Waziristan,5,9,7.1,6
32.992538,69.654007,13-Oct-10,Obama,"Inzarkas village, Datta Khel",North Waziristan,3,11,7.1,5
33.804256,70.736847,16-Dec-10,Obama,Spin Drand area of the Tirah Valley,Khyber,7,7,7.1,7
33.790562,70.823364,17-Dec-10,Obama,"Sandana, Tirah Valley",Khyber,7,7,7.1,7
33.1347,70.1649,11-Mar-11,Obama,Ghorski,North Waziristan,4,10,7.1,5
32.874973,69.614868,13-Mar-12,Obama,Tehsil Bermal,North Waziristan,6,8,7.1,7
32.713356,69.608688,1-Jul-12,Obama,Dre Nishtar Village,North Waziristan,6,8,7.1,8
33.005783,70.246178,29-Jul-12,Obama,Khushhali Turikhel,North Waziristan,7,7,7.1,7
32.62555094,69.49607846,7-Jun-13,Obama,Mangroti,North Waziristan,7,7,7.1,7
33.01575629,70.01943108,28-Jul-13,Obama,"Shinkai Narai, Shawal",North Waziristan,6,8,7.1,7
32.31673,69.384155,11-Dec-08,Bush,Azam Warzak,South Waziristan,6,7,6.6,6
32.995995,69.682159,21-Mar-10,Obama,Lowari Mandi area of Datta Khel,North Waziristan,5,8,6.6,6
32.46806,69.300385,21-Sep-10,Obama,"Khund, South Waziristan border with Afghanistan",South Waziristan,6,7,6.6,7
32.984188,69.696922,8-Oct-10,Obama,"Charkhel, in Datta Khel",North Waziristan,4,9,6.6,6
33.027664,69.741898,11-Nov-10,Obama,"Gulli Khel village, Ghulam Khan, 8 miles from Miram Shah",North Waziristan,6,7,6.6,7
32.962585,70.276794,21-Nov-10,Obama,"Khaddi, 10 miles east of Miram Shah",North Waziristan,4,9,6.6,5
33.029388,69.916992,28-Dec-10,Obama,"Ghulam Khan, 20 km north of Miram Shah",North Waziristan,5,8,6.6,6
33.040901,70.19989,21-Feb-11,Obama,"Spalga village, 12 miles south of Miram Shah",North Waziristan,5,8,6.6,8
32.306866,69.56543,15-Jun-11,Obama,Wana,South Waziristan,3,10,6.6,8
32.996284,70.074921,15-Nov-11,Obama,Miranshah,North Waziristan,6,7,6.6,6
32.5418,69.4455,28-May-12,Obama,Datta Khel,North Waziristan,5,8,6.6,7
33.010967,69.831848,21-Aug-12,Obama,"Shanakhora, 12 miles west of Miram Shah",North Waziristan,4,9,6.6,6
33.01620273,69.97398373,22-Sep-13,Obama,Shawal,North Waziristan,6,7,6.6,6
32.94195895,69.803009,7-Oct-14,Obama,Datta Khel,North Waziristan,6,7,6.6,6
33.00178048,69.94239804,4-Jan-15,Obama,Datta Khel,North Waziristan,5,8,6.6,7
32.75205508,69.57916256,29-Jan-15,Obama,"Shawal Valley, North Waziristan",North Waziristan,6,7,6.6,6
32.500496,69.283905,17-Sep-08,Bush,"Baghar Cheena region, 55km west of Wana",South Waziristan,5,7,6.1,6
32.520184,69.783783,29-Apr-09,Obama,"Kaniguram, near Wana",South Waziristan,6,6,6.1,6
32.288876,69.608688,18-Jun-09,Obama,"Shah Alam, Birmal, near Wana",South Waziristan,1,11,6.1,6
32.509182,69.798889,27-Aug-09,Obama,Tapar Ghai areain the Kanigram district,South Waziristan,4,8,6.1,5
32.997723,70.041962,29-Sep-09,Obama,Danda Darpakhel,North Waziristan,5,7,6.1,6
32.976414,69.728165,2-Feb-10,Obama,"Deegan, 18 miles west of Miram Shah",North Waziristan,4,8,6.1,6
32.983898,69.751511,4-Sep-10,Obama,Datta Khel,North Waziristan,4,8,6.1,5
32.344002,69.66568,21-Sep-10,Obama,"Azam Warsak, 6 miles NW of Wana",South Waziristan,5,7,6.1,7
32.970654,70.293961,15-Oct-10,Obama,Aziz Khel,North Waziristan,6,6,6.1,6
32.976414,69.733658,18-Oct-10,Obama,Sanzali area of Datta Khel,North Waziristan,5,7,6.1,7
33.037449,69.906006,31-Dec-10,Obama,"Ghulam Khan, 15km NW of Miram Shah",North Waziristan,4,8,6.1,8
32.691399,69.846954,23-Jan-11,Obama,"Mando Khel, 60km south of Miram Shah near Razmak",North Waziristan,6,6,6.1,6
32.313831,69.422607,20-Feb-11,Obama,"Kaza Panga village, 10 miles west of Wana",South Waziristan,4,8,6.1,8
32.976414,69.719238,13-Jan-12,Obama,New Aadda (outside Miranshah),North Waziristan,4,8,6.1,8
31.840233,70.037842,9-Mar-12,Obama,Nishpa,South Waziristan,6,6,6.1,6
32.583851,69.483032,13-Mar-12,Obama,Uthghalai,South Waziristan,5,7,6.1,6
32.71711,69.616043,24-Aug-12,Obama,Darray Nashtar,North Waziristan,6,6,6.1,6
33.24281527,70.22186276,6-Sep-13,Obama,"Dargah Mandi, Ghulam Khan",North Waziristan,6,6,6.1,6
33.01711136,70.06818291,1-Nov-13,Obama,"Dande Darpa Khel, Miran Shah",North Waziristan,5,7,6.1,7
33.0792263,69.91836544,10-Jul-14,Obama,Datta Khel,North Waziristan,6,6,6.1,6
32.90611606,69.74464413,11-Nov-14,Obama,Datta Khel,North Waziristan,6,6,6.1,6
32.90676122,69.75133892,20-Nov-14,Obama,Mada Khel,North Waziristan,6,6,6.1,6
31.88016221,69.30587765,15-Jan-15,Obama,Tehsil Ladha,South Waziristan,6,6,6.1,6
32.326595,69.521484,30-Aug-08,Bush,Korzai region near Wana,South Waziristan,5,6,5.6,5
33.016724,69.848328,4-Sep-08,Bush,Char Khel,North Waziristan,4,7,5.6,7
32.995419,70.31662,7-Sep-09,Obama,"Machi Khel, near Mir Ali",North Waziristan,4,7,5.6,7
32.493546,70.023422,29-Sep-09,Obama,Sararogha,South Waziristan,5,6,5.6,6
32.98505,69.739151,18-Dec-09,Obama,"Babrak Ziarat, near Wazgai village of Datta Khel Tehsil",North Waziristan,3,8,5.6,8
33.003483,70.015182,8-Jan-10,Obama,"Tapi Village, near Miram Shah",North Waziristan,3,8,5.6,8
33.027664,70.069427,25-Jul-10,Obama,"Tabbi Tolkhel, 4 km north of Miram Shah",North Waziristan,4,7,5.6,7
33.0047,70.0675,4-Sep-10,Obama,near Miramshah,North Waziristan,5,6,5.6,6
33.008663,69.76181,15-Sep-10,Obama,Payekhel village of Dattakhel district,North Waziristan,4,7,5.6,7
32.97382,70.312157,1-Nov-10,Obama,"Hyder Khel, near Mir Ali",North Waziristan,5,6,5.6,6
33.094994,70.276794,11-Mar-11,Obama,"Spinwam village, Khaisor, 30 miles north of Miram Shah",North Waziristan,5,6,5.6,5
32.986778,69.697266,12-May-11,Obama,Datta Khel,North Waziristan,3,8,5.6,6
32.992538,70.221863,23-May-11,Obama,"Machikhel, Mir Ali",North Waziristan,4,7,5.6,7
32.6126,69.5078,12-Jul-11,Obama,"Bray Nishtar, Shawal area",North Waziristan,3,8,5.6,8
32.3649,69.3029,17-Nov-11,Obama,Shawal,North Waziristan,4,7,5.6,7
33.001755,70.073547,9-Feb-12,Obama,Miranshah,North Waziristan,3,8,5.6,8
33.043205,70.188904,16-Feb-12,Obama,Spalga,North Waziristan,5,6,5.6,6
32.713932,69.612122,19-Aug-12,Obama,Mana,North Waziristan,4,7,5.6,7
32.71711,69.616043,24-Aug-12,Obama,Darray Nashtar,North Waziristan,5,6,5.6,6
32.71711,69.616043,24-Aug-12,Obama,Darray Nashtar,North Waziristan,5,6,5.6,6
32.905102,69.752785,24-Sep-12,Obama,Datta Khel,North Waziristan,5,6,5.6,6
33.00034982,70.06736752,29-May-13,Obama,Miranshah,North Waziristan,4,7,5.6,6
33.04090313,69.98428341,6-Aug-14,Obama,Datta Khel,North Waziristan,5,6,5.6,5
